Fixation X,Fixation Y,Valid Fixation
0,0,1
0.0015625,0.0025,1
0.47635479,0.28729929,1
0.47635479,0.30670748,1
0.47703297,0.30225523,1
0.47882153,0.30327114,1
0.48032452,0.3051799,1
0.48118683,0.30471266,1
0.48247456,0.30937819,1
0.4833485,0.32150444,1
0.48194469,0.33062965,1
0.48483154,0.33464348,1
0.52987022,0.31842676,1
0.25064333,0.43869022,1
0.25891287,0.43091137,1
0.26108631,0.43251987,1
0.26264881,0.43501987,1
0.263305,0.44021534,1
0.26664577,0.44183529,1
0.26970957,0.44448502,1
0.27686211,0.44333202,1
0.29000368,0.4419101,1
0.29855789,0.43696522,1
0.30241055,0.4346965,1
0.33801182,0.41508938,1
0.36259979,0.41958092,1
0.37988827,0.42252659,1
0.38964077,0.42517349,1
0.39492607,0.42440815,1
0.39761608,0.42992153,1
0.40085014,0.44478127,1
0.41008106,0.46333851,1
0.41919495,0.4756279,1
0.43087627,0.46894161,1
0.47290028,0.46860229,1
0.47436153,0.46860229,1
0.48375637,0.46282291,1
0.48692036,0.45714645,1
0.48907612,0.45691765,1
0.49209076,0.45177513,1
0.49738495,0.44501514,1
0.49888699,0.4466008,1
0.50033215,0.44852348,1
0.50236561,0.45093987,1
0.50456196,0.44907772,1
0.50771286,0.44942436,1
0.50884003,0.44910027,1
0.51053371,0.45065968,1
0.51098957,0.45454082,1
0.51167877,0.45494251,1
0.48709049,0.45989254,1
0.64443802,0.38483265,1
0.63862865,0.38483265,1
0.63727905,0.38318344,1
0.63571655,0.38068344,1
0.47972736,0.26703253,1
0,0,0
0,0,0
0,0,0
0.47972736,0.24166822,1
0.48569061,0.24708996,1
0.48934513,0.24957491,1
0.49137405,0.24641144,1
0.49609947,0.24269327,1
0.50532295,0.24096497,1
0.50780548,0.23714085,1
0.50760612,0.23779818,1
0.50455383,0.23438553,1
0.51334446,0.24788265,1
0.5342981,0.28788601,1
0.54415367,0.30028702,1
0.54503143,0.33132381,1
0.5421014,0.33120033,1
0.5358139,0.34223717,1
0.53673607,0.3135515,1
0.53560944,0.30793793,1
0.55937531,0.31426552,1
0.55937531,0.33200417,1
0.5635936,0.32629219,1
0.56656219,0.3268882,1
0.5677404,0.33149529,1
0.56775978,0.33177692,1
0.56785717,0.33188641,1
0.56881969,0.3301453,1
0.56942661,0.33399132,1
0.56936569,0.31630131,1
0.56893291,0.29848204,1
0.56761742,0.28367413,1
0.56911438,0.27881777,1
0.56260265,0.2903367,1
0.54844501,0.3371949,1
0.53237343,0.38868538,1
0.53146862,0.41787163,1
0.53043568,0.41829369,1
0.52983913,0.40701229,1
0.57152931,0.39705181,1
0.31359524,0.42594437,1
0.31246706,0.43130718,1
0.31194271,0.43819675,1
0.31098137,0.44135448,1
0.31113892,0.43849396,1
0.31231178,0.43708694,1
0.31355776,0.43173687,1
0.31539606,0.4263715,1
0.31732101,0.41650005,1
0.32160423,0.42678265,1
0.32894695,0.44962547,1
0.33035027,0.46110062,1
0.32783863,0.46160492,1
0.32844349,0.4629248,1
0.32383724,0.46656635,1
0.31966036,0.46725792,1
0.31878044,0.47095985,1
0.319091,0.46877823,1
0.3197645,0.46513092,1
0.32097847,0.46101238,1
0.32302826,0.44776237,1
0.32582027,0.45070812,1
0.32882374,0.45568119,1
0.33066174,0.45955635,1
0.33212666,0.46180569,1
0.33823502,0.46536518,1
0.347742,0.46317944,1
0.3467495,0.47266273,1
0.34437065,0.48852764,1
0.34275925,0.49022694,1
0.33455902,0.48850685,1
0.32778664,0.48584587,1
0.32652748,0.48506023,1
0.32652168,0.48871651,1
0.32694569,0.49069756,1
0.3283165,0.49743477,1
0.32883034,0.50472847,1
0.33047764,0.50708549,1
0.33302769,0.50397526,1
0.33534729,0.5001265,1
0.33723114,0.49612087,1
0.33635307,0.49221809,1
0.33853012,0.49048557,1
0.33599255,0.48859707,1
0.32790771,0.48697056,1
0.32629696,0.4697905,1
0.32324028,0.44427132,1
0.3320689,0.44064358,1
0.3249115,0.44549374,1
0.30401983,0.45082481,1
0.29144176,0.45477436,1
0.2816395,0.45641331,1
0.23300701,0.44716465,1
0.61342861,0.60464748,1
0.62619209,0.60464748,1
0.62580845,0.60352314,1
0.62011936,0.58848755,1
0.27446217,0.47369995,1
0.27196671,0.43268444,1
0.27446217,0.46727844,1
0.27363035,0.46795418,1
0.27769602,0.46784153,1
0.27396549,0.46856232,1
0.26133766,0.46623108,1
0.21040087,0.46805119,1
0.20609516,0.46306175,1
0.20795765,0.44818726,1
0.20899544,0.43786228,1
0.2108572,0.43446609,1
0.21212656,0.42861694,1
0.21296375,0.45179291,1
0.21260044,0.49299847,1
0.21089066,0.50229145,1
0.2089711,0.46859623,1
0.20740196,0.44310143,1
0.207451,0.44197048,1
0.20911018,0.44786343,1
0.14206295,0.44969429,1
0.61066448,0.41437496,1
0.61066448,0.41550552,1
0.60796757,0.41437496,1
0.60509159,0.41150845,1
0.6036594,0.41169952,1
0.60339478,0.41076805,1
0.60296375,0.40954414,1
0.60198868,0.41059071,1
0.60096039,0.40901726,1
0.59981853,0.41237782,1
0.59914738,0.41283192,1
0.59764565,0.42122719,1
0.59591991,0.42724846,1
0.59575397,0.43624779,1
0.59317223,0.43651241,1
0.58663105,0.41057209,1
0.58640869,0.39312832,1
0.58700916,0.39142651,1
0.58789066,0.40182804,1
0.58765327,0.40586643,1
0.58728054,0.40988239,1
0.58712078,0.4111549,1
0.58442604,0.4126289,1
